;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Inspección del campamento comedores y talleres ;;SSOMA;Pq2;Programado en el mes ;Planeado;2;2;2;2;2;2;2;2;2;2;2;2;24.00;;50%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Inspección del almacén de productos químicos MSDS ;;SSOMA;Pq2;Programado en el mes ;Planeado;2;2;2;2;2;2;2;2;2;2;2;2;24.00;;42%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Inspección de orden y limpieza de áreas de trabajo;;SSOMA;Pq2;Programado en el mes ;Planeado;4;4;4;4;4;4;4;4;4;4;4;4;48.00;;46%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Inspección de Procedimientos de trabajo;;SSOMA;Pq2;Programado en el mes ;Planeado;4;4;4;4;4;4;4;4;4;4;4;4;48.00;;46%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Inspección de escalera;;SSOMA;Pq2;Programado en el mes ;Planeado;1;1;1;;;1;;;1;;;1;6.00;;50%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Inspección de ambulancia;;SSOMA;Pq2;Programado en el mes ;Planeado;1;1;1;1;2;2;2;2;2;2;2;2;20.00;;35%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Inspección de SSHH / lava manos;;SSOMA;Pq2;Programado en el mes ;Planeado;1;1;1;1;4;4;4;4;4;4;4;4;36.00;;33%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Inspección de puntos de hidratación ;;SSOMA;Pq2;Programado en el mes ;Planeado;1;1;1;1;4;4;4;4;4;4;4;4;36.00;;33%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Inspección de Equipo contra caídas (arnés, línea de vida, etc.);;SSOMA;Pq2;Programado en el mes ;Planeado;;1;1;1;1;1;1;1;1;1;1;1;11.00;;45%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Inspección de trabajos de alto riesgo.;;SSOMA;Pq2;Programado en el mes ;Planeado;;;1;1;4;4;4;4;4;4;4;4;34.00;;24%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Adicional Inspección de estacionar vehículo;;SSOMA;Pq2;Programado en el mes ;Planeado;;;4;4;4;4;4;4;4;4;4;4;40.00;;40%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Planeado;66;67;72;71;86;87;86;86;87;86;86;87;967.00;;45%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;% de cump.;100%;100%;100%;100%;100%;82%;0%;0%;0%;0%;0%;0%;45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Ejecutar los RAC como como meta 90 aceptable 85% - Objetivo 4 目標4;;;;;Indicador:;;;;"  RAC Ejecutadas    x 100
RAC Planificadas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
III.1. Programa de identificación de actos y condiciones inseguras en la Obra;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Implementación del sistema de RAC;;SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;;;;;0.00;;0%;Se implemento en el 2024;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Reporte de actos y condiciones insegura;;SSOMA;Todo el personal;Programado en el mes ;Planeado;50;50;50;50;50;50;50;50;50;50;50;50;600.00;;45%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Planeado;50;50;50;50;50;50;50;50;50;50;50;50;600;;45%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;% de cump.;100%;100%;100%;100%;100%;42%;0%;0%;0%;0%;0%;0%;45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Ejecutar las actividades de Salud como Cumplimiento aceptable 90 % - Objetivo 5 目標 5;;;;;Indicador:;;;;"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V. Programa de Actividades de Salud;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Realizar EMO;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;1;1;1;1;1;1;1;1;1;1;1;1;12.00;;50%;Esta cantidad es referencia al ingreso de personal puede variar;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Realizar entrega certificado y resultados de EMO ;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;1;1;1;1;1;1;1;1;1;1;1;1;12.00;;50%;Esta cantidad es referencia al ingreso de personal puede variar;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Actividades de Salud del PASO;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;1;1;1;1;26;23;22;28;22;21;25;25;196.00;;27%;En relación con el PASSO;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Monitoreo de Agentes Físico, Ergonómicos y Psicosociales;;Área SSOMA;Algunos puesto de trabajo;Anual;Planeado;;;;;;;;;;;;1;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Planeado;2;2;2;2;27;24;23;29;23;22;26;27;209;;28%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;% de cump.;100%;100%;100%;100%;100%;100%;0%;0%;0%;0%;0%;0%;28%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Preparación de emergencia (Simulacros) Cumplimiento aceptable 90 % - Objetivo 6 目標 6;;;;;Indicador:;;;;"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VI. PREPARACION Y RESPUESTA ANTE EMERGENCIA;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Revisión y difusión del plan de contingencias.;;Área SSOMA;Brigadistas;Anual;Planeado;1;;;;;;;;;;;;1.00;;100%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Simulacro de inundación;;Área SSOMA;Brigadistas / Todo el personal;Anual;Planeado;1;;;;;;;;;;;;1.00;;100%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Simulacro contra sismos.;;Área SSOMA;Brigadistas / Todo el personal;;Planeado;;;;;1;;;1;;;1;;3.00;;33%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4; Simulacro de primeros auxilios.;;Área SSOMA;Brigadistas / Todo el personal;Anual;Planeado;;;;;;;;;;;;1;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Simulacro de extinción de incendios.;;Área SSOMA;Brigadistas / Todo el personal;Anual;Planeado;;;;;;;;;;1;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Simulacro de explosiones ;;Área SSOMA;Brigadistas ;Anual;Planeado;;;;;;;;;;1;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Capacitación de Primeros Auxilios: Fisiología de la Vida y la Muerte Evaluación de la Escena y Evaluación Primaria;;Área SSOMA;Brigadistas ;Anual;Planeado;;;;;;1;;;;;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Capacitación de Primeros Auxilios: Vías aéreas
Respiración, Ventilación y Oxigenación";;Área SSOMA;Brigadistas ;Anual;Planeado;;;;;;;1;;;;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Capacitación de Primeros Auxilios: Circulación, Hemorragia y Shock;;Área SSOMA;Brigadistas ;Anual;Planeado;;;;;;;;1;;;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Capacitación de Primeros Auxilios: Atragantamiento;;Área SSOMA;Brigadistas ;Anual;Planeado;;;;;;;;;1;;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Capacitación de Primeros Auxilios: Evaluación Secundaria;;Área SSOMA;Brigadistas ;Anual;Planeado;;;;;;;;;;1;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Capacitación de Primeros Auxilios: Estaciones Prácticas - ABCD & P;;Área SSOMA;Brigadistas ;Anual;Planeado;;;;;;;;;;;1;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Capacitación de reacción en caso de sismos;;Área SSOMA;Brigadistas / Todo el personal;Anual;Planeado;;;;;1;;;1;;;1;;3.00;;33%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Capacitación reacción contra inundaciones;;Área SSOMA;Brigadistas / Todo el personal;Anual;Planeado;1;;;;;;;;;;;;1.00;;100%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Capacitación de extinción de incendios. Uso de extintores;;Área SSOMA;Brigadistas / Todo el personal;Anual;Planeado;;;;;;;;;;1;;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Capacitación de manejo de materiales peligrosos;;Área SSOMA;Brigadistas / Todo el personal;Anual;Planeado;;;;;;;;;;;1;;1.00;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Planeado;3;0;0;0;2;1;0;2;0;3;3;1;15;;33%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;% de cump.;100%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Auditoria Ejecutar las actividades como Cumplimiento aceptable 90 % - Objetivo 7 目標 7;;;;;Indicador:;;;;"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VI. AUDITORIAS DE SEGURIDAD Y SALUD EN EL TRABAJO ;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vi.1;Auditoría Interna de seguridad y salud en el trabajo;;CENTRAL SINOHYDRO;SSOMA;Anual;Planeado;;;;;;;;;;;;1;1.00;;0%;Se reprogramo la auditoria interna para Diciembre del 2025 por no coincidir con las fechas programada en diciembre del 2024 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Planeado;0;0;0;0;0;0;0;0;0;0;0;1;1.00;;0%;Artículo 90.- La revisión del sistema de gestión de la seguridad y salud en el trabajo se realiza por lo menos una (1) vez al año. El alcance de la revisión debe definirse según las necesidades y riesgos presentes.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;% de cump.;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Aprobado por el Presidente del SCSST;;Revisado por residente de obra;;;;Elaborado Por Jefe SSOMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;  Yoshio Valenzuela Blanco ;;Edwin Velarde Tintaya;;;;Jose Luis Cancino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capacitaciones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Indicador de capacitacion;;PQ2 SINOHYDRO;SSOMA;Anual;HHC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;HHT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;% de cump.;5.0%;3.6%;4.6%;4%;4%;5%;0%;0%;0%;0%;0%;0%;27%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Cantidad de personal;;PQ2 SINOHYDRO;SSOMA;Anual;Indirecto;82;81;97;95;93;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Directo;104;115;121;148;162;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Servicio Terceros ;12;12;12;9;9;8;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Xtrime;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Wayki;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;F&A;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Real Servis;;;;6;6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accidentabilidad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;PERIODO DE EJECUCION 2025;;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período; ;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vi.1;Indicador de Accidentabilidad;;PQ2 SINOHYDRO;SSOMA;Anual;N° de incidentes Mes;1;1;0;1;1;0;0;0;0;0;0;0;4;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° de incidentes acumulados;3;4;4;5;6;6;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° de incidentes peligrosos Mes;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° de incidentes peligrosos Acumulado;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° Accidente con daño a la propiedad mes;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° Accidente con daño a la propiedad Acumulado;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° Accidente leve;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° Accidente leve Acumulado;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° Accidente incapacitantes;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° Accidente incapacitantes Acumulado;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° Accidente Mortales;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;HP Horas Hombre trabajadas;37545;40179;47624;47991;50581;48147;0;0;0;0;0;0;272066;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;HP Horas Hombre trabajadas acumulado;37545;77724;125347;173338;223919;272066;272066;272066;272066;272066;272066;272066;272066;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° dias perdidos;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;N° dias perdidos Acumulados;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;IF Indicice de frecuencia;0;0;0;0;0;0;0;0;0;0;0;0;0;;;IF = (N° numero de accidentes del mes / Total dedias del mes mes) × 1,000,000;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;IF Anual  Indicice de frecuencia;0;0;0;0;0;0;0;0;0;0;0;0;0;;;IF = (N° numero de accidentes en lo que va del año  / Total de dias perdidos del año) × 1,000,000;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;IS Indice severidad ;0;0;0;0;0;0;0;0;0;0;0;0;0;;;IS = (N° numero de dias perdidos en el mes  / Total de horas-hombre trabajadas del mes) × 1,000,000;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;IS Anual Indice severidad ;0;0;0;0;0;0;0;0;0;0;0;0;0;;;IS = (N° numero de dias perdidos en lo que va del año  / Total de horas-hombre trabajadas del año) × 1,000,000;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;IA Indice de accidentabilidad;0;0;0;0;0;0;0;0;0;0;0;0;0;;;IA=(IFxIS)/1000;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;IA Anual  Indice de accidentabilidad;0;0;0;0;0;0;0;0;0;0;0;0;0;;;IA=(IFxIS)/1000;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Ejecutar las actividades de medio ambiente como Cumplimiento aceptable 90 % - Objetivo 8 目標 8;;;;;Indicador:;;;;"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Actividades medio ambiente;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Inspección de Kit antiderrames de los equipos y estacionarios;;Especialista Ambiental;Operadores;Anual;Planeado;3;3;3;3;3;3;3;3;3;3;3;3;36.00;;50%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Charla Ambiental;;Especialista Ambiental; Todo el personal;Anual;Planeado;4;4;4;4;4;3;3;3;3;3;3;3;41.00;;56%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Capacitación ambiental;;Especialista Ambiental; Todo el personal;Anual;Planeado;2;2;2;2;2;1;1;1;1;1;1;1;17.00;;65%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Verificación de la segregación en punto de trabajo;;Especialista Ambiental; Todo el personal;Anual;Planeado;5;5;5;5;5;4;4;4;4;4;4;4;53.00;;55%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
